sample-id	source	Fraction	density_g_ml	dna_conc	avg_16S_g_soil
202_F4	S202	4	1.7595677060000003	0.20772375910343177	4514.521810001233
202_F5	S202	5	1.754103906000001	0.5452075675944636	68456.04303983058
202_F6	S202	6	1.7477385790000017	0.649480847	247569.60065552336
202_F7	S202	7	1.741182019	0.5801541182908655	371311.40998427634
202_F8	S202	8	1.7357182190000007	7.336845661458458	1885105.8332626466
202_F9	S202	9	1.7291616590000007	19.49951711935475	2769882.2681129198
202_F10	S202	10	1.7236978590000014	30.564562566751505	6740087.233113387
202_F11	S202	11	1.7182340590000003	22.336447835978703	9094618.694155937
202_F12	S202	12	1.7129614920000016	15.64113117725701	12360787.720378399
202_F13	S202	13	1.7064049320000017	6.704343684471193	6545645.802052421
202_F14	S202	14	1.7009411320000023	3.126433565	1400406.6518613566
202_F15	S202	15	1.6954773320000012	1.0169431016913588	944734.1998929182
202_F16	S202	16	1.6889207720000012	0.042333934	68322.31219
202_F17	S202	17	1.6834569720000019	0	22416.205598071832
202_F18	S202	18	1.6770916450000009	0	15734.205379931067
202_F19	S202	19	1.648679885	0.027092758852544693	20468.539644068664
203_F1	S203	1	1.7712602380000018	0.25484064284345564	90887.23559579648
203_F2	S203	2	1.7692659510000013	0.24536540679410682	108215.91074054333
203_F3	S203	3	1.7638021510000002	0.5100624318453494	142901.63704572836
203_F4	S203	4	1.7583383510000008	1.2821085961441903	229289.36732422098
203_F5	S203	5	1.7517817910000009	2.836579218772524	640495.0793049821
203_F6	S203	6	1.7452252310000027	3.783522782570189	1874646.566
203_F7	S203	7	1.738668671000001	4.434749512101933	3044874.881
203_F8	S203	8	1.7342976310000005	5.7535504215579865	2973974.5645056735
203_F9	S203	9	1.728833831000001	9.803645568701052	3599815.2987214867
203_F10	S203	10	1.7233700310000017	13.673369595358006	4636229.068059194
203_F11	S203	11	1.7180974640000013	16.57004622390424	8004836.547510614
203_F12	S203	12	1.712633664000002	12.826053159227522	8100225.652
203_F13	S203	13	1.7071698640000026	7.3496011844117755	6890957.598560311
203_F14	S203	14	1.7017060640000032	0.14318968250519631	4482337.120641747
203_F15	S203	15	1.6962422640000003	0.19573408172668516	1916409.5893515733
203_F16	S203	16	1.6909696970000017	0.21488961317778302	1077462.2323308599
203_F17	S203	17	1.6865986570000011	0.2504547626134767	572231.4899281856
203_F18	S203	18	1.6789493370000024	0.18672378203243603	896870.4482448166
203_F19	S203	19	1.6570941370000032	0.1715950117627402	631709.1800131357
